keys,en,es
Enable pathing for this source. Use Global = follow runtime pathing_enabled.,Enable pathing for this source. Use Global = follow runtime pathing_enabled.,Habilita el trazado de rutas para esta fuente. Usar global = sigue a pathing_enabled en tiempo de ejecución.
Enable perspective correction for spatialized sound in third-person.,Enable perspective correction for spatialized sound in third-person.,Habilita la corrección de perspectiva para el sonido espacializado en tercera persona.
Enable reflections for this source. Use Global = follow runtime.,Enable reflections for this source. Use Global = follow runtime.,Habilita las reflexiones para esta fuente. Usar global = sigue el tiempo de ejecución.
"Encode point source to Ambisonics before binaural (HOA path). For mixing into an HOA-style chain. When enabled, [member spatial_blend] crossfades standard [code]iplBinauralEffect[/code] output (same spatialBlend HRIR behavior as when encode is off) with HOA encode+binaural: 0 = binaural only, 1 = HOA only; values in between mix both. Usually leave disabled.","Encode point source to Ambisonics before binaural (HOA path). For mixing into an HOA-style chain. When enabled, [member spatial_blend] crossfades standard [code]iplBinauralEffect[/code] output (same spatialBlend HRIR behavior as when encode is off) with HOA encode+binaural: 0 = binaural only, 1 = HOA only; values in between mix both. Usually leave disabled.","Codifica la fuente puntual a ambisónicos antes de la binaural (ruta HOA). Para mezclar en una cadena de estilo HOA. Cuando está habilitado, [member spatial_blend] realiza un desvanecimiento cruzado de la salida estándar de [code]iplBinauralEffect[/code] (mismo comportamiento de HRIR en spatialBlend que cuando la codificación está desactivada) con codificación HOA+binaural: 0 = solo binaural, 1 = solo HOA; los valores intermedios mezclan ambos. Normalmente déjalo desactivado."
"Exponential smoothing time constant (seconds) for simulation-derived occlusion and transmission coefficients. 0 = off (instant). When greater than 0, playback parameters are pushed every frame while smoothing applies (higher CPU than [member playback_parameter_min_interval] alone). Only affects Simulation Defined occlusion/transmission, not User Defined.","Exponential smoothing time constant (seconds) for simulation-derived occlusion and transmission coefficients. 0 = off (instant). When greater than 0, playback parameters are pushed every frame while smoothing applies (higher CPU than [member playback_parameter_min_interval] alone). Only affects Simulation Defined occlusion/transmission, not User Defined.","Constante de tiempo de suavizado exponencial (segundos) para los coeficientes de oclusión y transmisión derivados de la simulación. 0 = desactivado (instantáneo). Cuando es mayor que 0, los parámetros de reproducción se actualizan cada fotograma mientras se aplica el suavizado (mayor CPU que solo [member playback_parameter_min_interval]). Solo afecta a la oclusión/transmisión de Definido por simulación, no a Definido por usuario."
Factor for on-screen position mapping (0.5–2.0). 1.0 = calibrated for 30–32 inch monitor. Used when Enabled; ignored when Use Global.,Factor for on-screen position mapping (0.5–2.0). 1.0 = calibrated for 30–32 inch monitor. Used when Enabled; ignored when Use Global.,Factor para el mapeo de posición en pantalla (0.5–2.0). 1.0 = calibrado para un monitor de 30–32 pulgadas. Se usa cuando está habilitado; se ignora al usar global (Use Global).
Find alternate paths when a baked path is occluded. Use Global = [member ResonanceRuntimeConfig.find_alternate_paths]. Only applies when path validation is effectively on. Very CPU-heavy.,Find alternate paths when a baked path is occluded. Use Global = [member ResonanceRuntimeConfig.find_alternate_paths]. Only applies when path validation is effectively on. Very CPU-heavy.,Busca rutas alternativas cuando una ruta horneada está ocluida. Usar global = [member ResonanceRuntimeConfig.find_alternate_paths]. Solo se aplica cuando la validación de rutas está efectivamente activada. Consume mucha CPU.
Fraction of CPU cores for Steam Audio simulation threads (0–1). 0.15 ≈ 15% of logical cores; raise for heavier realtime reflections/pathing.,Fraction of CPU cores for Steam Audio simulation threads (0–1). 0.15 ≈ 15% of logical cores; raise for heavier realtime reflections/pathing.,Fracción de núcleos de CPU para los hilos de simulación de Steam Audio (0–1). 0.15 ≈ 15% de los núcleos lógicos; auméntalo para reflexiones/trazado de rutas en tiempo real más pesados.
HRTF normalization for the embedded default HRTF only (None / RMS). Custom SOFA files use [member ResonanceSOFAAsset.norm_type] on the asset.,HRTF normalization for the embedded default HRTF only (None / RMS). Custom SOFA files use [member ResonanceSOFAAsset.norm_type] on the asset.,Normalización de HRTF solo para el HRTF predeterminado integrado (Ninguna / RMS). Los archivos SOFA personalizados utilizan [member ResonanceSOFAAsset.norm_type] en el recurso.
HRTF table lookup: nearest (faster) vs bilinear (smoother motion). Use Global = [member ResonanceRuntimeConfig.hrtf_interpolation_bilinear].,HRTF table lookup: nearest (faster) vs bilinear (smoother motion). Use Global = [member ResonanceRuntimeConfig.hrtf_interpolation_bilinear].,Búsqueda en la tabla HRTF: más cercana (más rápida) frente a bilineal (movimiento más suave). Usar global = [member ResonanceRuntimeConfig.hrtf_interpolation_bilinear].
"HRTF volume gain (dB) for the embedded default HRTF. With custom SOFA, added to each asset's [member ResonanceSOFAAsset.volume_db] (linear gain product).","HRTF volume gain (dB) for the embedded default HRTF. With custom SOFA, added to each asset's [member ResonanceSOFAAsset.volume_db] (linear gain product).","Ganancia de volumen de HRTF (dB) para el HRTF predeterminado integrado. Con SOFA personalizado, se añade a la [member ResonanceSOFAAsset.volume_db] de cada recurso (producto de ganancia lineal)."
"High-band (≥8 kHz) EQ. 0 = fully attenuated, 1 = no change.","High-band (≥8 kHz) EQ. 0 = fully attenuated, 1 = no change.","Ecualización de banda alta (≥8 kHz). 0 = totalmente atenuada, 1 = sin cambios."
High-band transmission (0-1). Only when transmission_input is User Defined.,High-band transmission (0-1). Only when transmission_input is User Defined.,Transmisión de banda alta (0-1). Solo cuando transmission_input es User Defined.
How fast adaptive rays recover toward [member realtime_rays] when under budget (fraction of max rays per reflections tick).,How fast adaptive rays recover toward [member realtime_rays] when under budget (fraction of max rays per reflections tick).,Rapidez con la que los rayos adaptativos se recuperan hacia [member realtime_rays] cuando se está por debajo del presupuesto (fracción de rayos máximos por ciclo de reflexiones).
"How much transmission damps reverb (0–1). 0 = no damping. 1 = full damping (reverb scaled by wall transparency).
Only consulted for baked REVERB paths (see [member apply_occlusion_to_baked_reflections]); realtime reflections and
STATICSOURCE/STATICLISTENER already encode source→listener occlusion in the IR.","How much transmission damps reverb (0–1). 0 = no damping. 1 = full damping (reverb scaled by wall transparency).
Only consulted for baked REVERB paths (see [member apply_occlusion_to_baked_reflections]); realtime reflections and
STATICSOURCE/STATICLISTENER already encode source→listener occlusion in the IR.","Cuánto amortigua la transmisión la reverberación (0–1). 0 = sin amortiguación. 1 = amortiguación completa (reverberación escalada por la transparencia de la pared).
Solo se consulta para rutas de REVERBERACIÓN horneadas (ver [member apply_occlusion_to_baked_reflections]); las reflexiones en tiempo real y
STATICSOURCE/STATICLISTENER ya codifican la oclusión de fuente→oyente en la IR."
Hybrid reverb: length (seconds) of IR used for convolution before parametric tail. Lower = less CPU (e.g. 0.2–0.3 s for better hybrid performance). Only when reflection_type is Hybrid.,Hybrid reverb: length (seconds) of IR used for convolution before parametric tail. Lower = less CPU (e.g. 0.2–0.3 s for better hybrid performance). Only when reflection_type is Hybrid.,"Reverberación híbrida: longitud (segundos) de la IR utilizada para convolución antes de la cola paramétrica. Menor = menos CPU (por ejemplo, 0.2–0.3 s para un mejor rendimiento híbrido). Solo cuando reflection_type es Hybrid."
Hybrid reverb: overlap percent (0–100) for crossfade between convolution and parametric parts.,Hybrid reverb: overlap percent (0–100) for crossfade between convolution and parametric parts.,Reverberación híbrida: porcentaje de superposición (0–100) para el desvanecimiento cruzado entre las partes de convolución y paramétrica.
"If enabled, the sound source becomes directional. Projects along negative Z-axis (Forward).","If enabled, the sound source becomes directional. Projects along negative Z-axis (Forward).","Si está habilitado, la fuente de sonido se vuelve direccional. Se proyecta a lo largo del eje Z negativo (Adelante)."
"Impulse response length (seconds) simulated each realtime tick. Longer increases CPU/memory.
Distinct from [member max_reverb_duration] (allocation cap).","Impulse response length (seconds) simulated each realtime tick. Longer increases CPU/memory.
Distinct from [member max_reverb_duration] (allocation cap).","Longitud de la respuesta al impulso (segundos) simulada en cada ciclo de tiempo real. Mayor longitud aumenta el uso de CPU/memoria.
Distinto de [member max_reverb_duration] (límite de asignación)."
Index into [member hrtf_sofa_assets] for the active SOFA (clamped at runtime).,Index into [member hrtf_sofa_assets] for the active SOFA (clamped at runtime).,Índice en [member hrtf_sofa_assets] para el SOFA activo (limitado en tiempo de ejecución).
Inverse / Linear / Curve / Disabled. Disabled turns off sim distance attenuation on the direct path (not mute). Legacy tres may map old flags into this enum.,Inverse / Linear / Curve / Disabled. Disabled turns off sim distance attenuation on the direct path (not mute). Legacy tres may map old flags into this enum.,Inverso / Lineal / Curva / Desactivado. Desactivado desactiva la atenuación de distancia de simulación en la ruta directa (no silencia). Los archivos .tres antiguos pueden asignar banderas heredadas en este enumerador.
"Low-band (≤800 Hz) EQ. 0 = fully attenuated, 1 = no change. Only when air_absorption_input is User Defined.","Low-band (≤800 Hz) EQ. 0 = fully attenuated, 1 = no change. Only when air_absorption_input is User Defined.","Ecualización de banda baja (≤800 Hz). 0 = totalmente atenuada, 1 = sin cambios. Solo cuando air_absorption_input es User Defined."
Low-band transmission (0-1). Only when transmission_input is User Defined.,Low-band transmission (0-1). Only when transmission_input is User Defined.,Transmisión de banda baja (0-1). Solo cuando transmission_input es User Defined.
Lower bound for adaptive realtime [code]numRays[/code] when [member reflections_adaptive_budget_us] > 0.,Lower bound for adaptive realtime [code]numRays[/code] when [member reflections_adaptive_budget_us] > 0.,Límite inferior para [code]numRays[/code] adaptativo en tiempo real cuando [member reflections_adaptive_budget_us] > 0.
Max distance (meters) for attenuation. Sound reaches minimum volume at this range.,Max distance (meters) for attenuation. Sound reaches minimum volume at this range.,Distancia máxima (metros) para la atenuación. El sonido alcanza el volumen mínimo en este rango.
"Max distance for realtime reflections (meters). 0 disables the distance cull.
Sources farther than this omit reflections simulation flags (cheaper [code]RunReflections[/code]).","Max distance for realtime reflections (meters). 0 disables the distance cull.
Sources farther than this omit reflections simulation flags (cheaper [code]RunReflections[/code]).","Distancia máxima para reflexiones en tiempo real (metros). 0 desactiva el descarte por distancia.
Las fuentes más lejanas omiten las banderas de simulación de reflexiones (ejecución de [code]RunReflections[/code] más económica)."
Max surfaces along the transmission path from listener (1–256; Steam Audio [code]numTransmissionRays[/code]). Only when [member max_transmission_surfaces_override] is User Defined. Increase for deep stacks of walls along one ray; it does not blend two materials at a lateral edge.,Max surfaces along the transmission path from listener (1–256; Steam Audio [code]numTransmissionRays[/code]). Only when [member max_transmission_surfaces_override] is User Defined. Increase for deep stacks of walls along one ray; it does not blend two materials at a lateral edge.,Superficies máximas a lo largo de la ruta de transmisión desde el oyente (1–256; Steam Audio [code]numTransmissionRays[/code]). Solo cuando [member max_transmission_surfaces_override] es User Defined. Auméntalo para pilas profundas de paredes a lo largo de un solo rayo; no mezcla dos materiales en un borde lateral.
Maximum simultaneous sources for realtime reflection simulation (Steam Audio [code]maxNumSources[/code]). Higher values use more CPU and memory.,Maximum simultaneous sources for realtime reflection simulation (Steam Audio [code]maxNumSources[/code]). Higher values use more CPU and memory.,Máximo de fuentes simultáneas para la simulación de reflexiones en tiempo real (Steam Audio [code]maxNumSources[/code]). Valores más altos consumen más CPU y memoria.
"Mid-band (800 Hz–8 kHz) EQ. 0 = fully attenuated, 1 = no change.","Mid-band (800 Hz–8 kHz) EQ. 0 = fully attenuated, 1 = no change.","Ecualización de banda media (800 Hz–8 kHz). 0 = totalmente atenuada, 1 = sin cambios."
Mid-band transmission (0-1). Only when transmission_input is User Defined.,Mid-band transmission (0-1). Only when transmission_input is User Defined.,Transmisión de banda media (0-1). Solo cuando transmission_input es User Defined.
"Min distance for irradiance sampling. Lower = finer detail at close range, more CPU. Only when Realtime Rays > 0.","Min distance for irradiance sampling. Lower = finer detail at close range, more CPU. Only when Realtime Rays > 0.","Distancia mínima para el muestreo de irradiancia. Menor = detalles más finos a corta distancia, más CPU. Solo cuando Realtime Rays > 0."
Minimum seconds between full playback-parameter updates (occlusion/reverb readback → [code]ResonanceInternalPlayback[/code]). 0 = every frame. E.g. 0.033 ≈ 30 Hz cap. Source simulation updates still run every frame (or batched).,Minimum seconds between full playback-parameter updates (occlusion/reverb readback → [code]ResonanceInternalPlayback[/code]). 0 = every frame. E.g. 0.033 ≈ 30 Hz cap. Source simulation updates still run every frame (or batched).,"Segundos mínimos entre actualizaciones completas de parámetros de reproducción (lectura de oclusión/reverberación → [code]ResonanceInternalPlayback[/code]). 0 = cada fotograma. Por ejemplo, 0.033 ≈ límite de 30 Hz. Las actualizaciones de simulación de la fuente se siguen ejecutando cada fotograma (o en lotes)."
Minimum seconds between worker applications of queued dynamic geometry transforms to Steam Audio (scene commit cost control).,Minimum seconds between worker applications of queued dynamic geometry transforms to Steam Audio (scene commit cost control).,Segundos mínimos entre aplicaciones del hilo de trabajo de transformaciones de geometría dinámica en cola a Steam Audio (control de costos de escena commit).
Minimum source movement (meters) to trigger a full playback-parameter update when [member playback_parameter_min_interval] is also used; either condition can trigger. 0 = ignore movement-only gating (use interval only if set).,Minimum source movement (meters) to trigger a full playback-parameter update when [member playback_parameter_min_interval] is also used; either condition can trigger. 0 = ignore movement-only gating (use interval only if set).,Movimiento mínimo de la fuente (metros) para activar una actualización completa de los parámetros de reproducción cuando también se usa [member playback_parameter_min_interval]; cualquiera de las condiciones puede activarla. 0 = ignorar el filtro por movimiento (usar solo intervalo si está configurado).
Number of rays per source for volumetric occlusion (1–64; Steam Audio [code]numOcclusionSamples[/code]). Editable only when [member occlusion_type_override] is **Volumetric**. Higher values stabilize the occlusion fraction near geometry boundaries; lower = less CPU.,Number of rays per source for volumetric occlusion (1–64; Steam Audio [code]numOcclusionSamples[/code]). Editable only when [member occlusion_type_override] is **Volumetric**. Higher values stabilize the occlusion fraction near geometry boundaries; lower = less CPU.,Número de rayos por fuente para la oclusión volumétrica (1–64; Steam Audio [code]numOcclusionSamples[/code]). Editable solo cuando [member occlusion_type_override] es **Volumetric**. Valores más altos estabilizan la fracción de oclusión cerca de los límites de la geometría; valores más bajos reducen el uso de CPU.
"Occlusion attenuation (0-1). 0 = fully occluded, 1 = not occluded. Only when occlusion_input is User Defined.","Occlusion attenuation (0-1). 0 = fully occluded, 1 = not occluded. Only when occlusion_input is User Defined.","Atenuación de oclusión (0-1). 0 = totalmente ocluido, 1 = no ocluido. Solo cuando occlusion_input es User Defined."
"Occlusion model: Raycast (binary hit) or Volumetric (fractional occlusion from samples; Steam Audio [code]numOcclusionSamples[/code]). Volumetric only affects how occlusion is computed, not how transmission coefficients are banded. Pair with [member ResonancePlayerConfig.occlusion_samples] and [member ResonancePlayerConfig.source_radius] on each source.","Occlusion model: Raycast (binary hit) or Volumetric (fractional occlusion from samples; Steam Audio [code]numOcclusionSamples[/code]). Volumetric only affects how occlusion is computed, not how transmission coefficients are banded. Pair with [member ResonancePlayerConfig.occlusion_samples] and [member ResonancePlayerConfig.source_radius] on each source.","Modelo de oclusión: Raycast (impacto binario) o Volumetric (oclusión fraccionada a partir de muestras; Steam Audio [code]numOcclusionSamples[/code]). Volumetric solo afecta a cómo se calcula la oclusión, no a cómo se agrupan los coeficientes de transmisión. Emparéjalo con [member ResonancePlayerConfig.occlusion_samples] y [member ResonancePlayerConfig.source_radius] en cada fuente."
Occlusion source: Simulation Defined = physics-based raycast. User Defined = use occlusion_value (script-controlled).,Occlusion source: Simulation Defined = physics-based raycast. User Defined = use occlusion_value (script-controlled).,Origen de oclusión: Definido por simulación = trazado de rayos basado en física. Definido por usuario = usa occlusion_value (controlado por script).
OpenCL device index (0 = first matching device). Useful when multiple GPUs are present.,OpenCL device index (0 = first matching device). Useful when multiple GPUs are present.,Índice del dispositivo OpenCL (0 = primer dispositivo coincidente). Útil cuando hay varias GPUs presentes.
OpenCL device type when scene_type is Radeon Rays (or when using TAN). Helps when a GPU has OpenCL issues.,OpenCL device type when scene_type is Radeon Rays (or when using TAN). Helps when a GPU has OpenCL issues.,Tipo de dispositivo OpenCL cuando scene_type es Radeon Rays (o al usar TAN). Ayuda cuando una GPU tiene problemas con OpenCL.
Output bus for Direct + Pathing. Empty = Master.,Output bus for Direct + Pathing. Empty = Master.,Bus de salida para Directo + Trazado de rutas. Vacío = Master.
Overrides runtime transmission mode for the direct effect only. Frequency independent = single coefficient; frequency dependent = three bands (see simulator transmission type).,Overrides runtime transmission mode for the direct effect only. Frequency independent = single coefficient; frequency dependent = three bands (see simulator transmission type).,Sobrescribe el modo de transmisión en tiempo de ejecución solo para el efecto directo. Independiente de frecuencia = coeficiente único; dependiente de frecuencia = tres bandas (ver tipo de transmisión del simulador).
"Parallel bake threads. More = faster bake, more CPU.","Parallel bake threads. More = faster bake, more CPU.","Hilos de horneado en paralelo. Más = horneado más rápido, más CPU."
Path validation: Use Global = [member ResonanceRuntimeConfig.path_validation_enabled]. Disabled / Enabled = force off or on for this source.,Path validation: Use Global = [member ResonanceRuntimeConfig.path_validation_enabled]. Disabled / Enabled = force off or on for this source.,Validación de ruta: Usar global = [member ResonanceRuntimeConfig.path_validation_enabled]. Desactivado / Habilitado = fuerza el apagado o encendido para esta fuente.
Pathing: normalize EQ on path effect output. Prevents pathing from sounding too bright.,Pathing: normalize EQ on path effect output. Prevents pathing from sounding too bright.,Trazado de rutas: ecualización de normalización en la salida del efecto de trazado. Evita que el trazado de rutas suene demasiado brillante.
Per-second reduction of adaptive extra delay when under budget (or worker did not run reflections).,Per-second reduction of adaptive extra delay when under budget (or worker did not run reflections).,Reducción por segundo del retraso adaptativo adicional cuando se está por debajo del presupuesto (o el hilo de trabajo no ejecutó las reflexiones).
Per-source EQ multiplier for high band. 1.0 = no change.,Per-source EQ multiplier for high band. 1.0 = no change.,Multiplicador de ecualización por fuente para la banda alta. 1.0 = sin cambios.
Per-source EQ multiplier for low band. 1.0 = no change. Only when runtime reflection_type is Hybrid.,Per-source EQ multiplier for low band. 1.0 = no change. Only when runtime reflection_type is Hybrid.,Multiplicador de ecualización por fuente para la banda baja. 1.0 = sin cambios. Solo cuando el reflection_type en tiempo de ejecución es Hybrid.
Per-source EQ multiplier for mid band. 1.0 = no change.,Per-source EQ multiplier for mid band. 1.0 = no change.,Multiplicador de ecualización por fuente para la banda media. 1.0 = sin cambios.
Per-source override for [member ResonanceRuntimeConfig.direct_binaural]. Use Global = runtime default; Disabled = panning on dry path; Enabled = force HRTF.,Per-source override for [member ResonanceRuntimeConfig.direct_binaural]. Use Global = runtime default; Disabled = panning on dry path; Enabled = force HRTF.,Sobrescritura por fuente para [member ResonanceRuntimeConfig.direct_binaural]. Usar global = valor por defecto; Desactivado = paneo en la ruta dry; Habilitado = fuerza el uso de HRTF.
Per-source override for [member ResonanceRuntimeConfig.pathing_binaural]. Disabled saves CPU when pathing runs but stereo speaker panning is enough.,Per-source override for [member ResonanceRuntimeConfig.pathing_binaural]. Disabled saves CPU when pathing runs but stereo speaker panning is enough.,Sobrescritura por fuente para [member ResonanceRuntimeConfig.pathing_binaural]. Desactivado ahorra CPU cuando el trazado se ejecuta pero el paneo estéreo es suficiente.
Per-source override for [member ResonanceRuntimeConfig.reverb_binaural] (HRTF on convolution / mixer Ambisonics decode - reflections wet path).,Per-source override for [member ResonanceRuntimeConfig.reverb_binaural] (HRTF on convolution / mixer Ambisonics decode - reflections wet path).,Sobrescritura por fuente para [member ResonanceRuntimeConfig.reverb_binaural] (HRTF en decodificación de convolución / mezcla ambisónica - ruta wet de reflexiones).
Per-source perspective correction. Use Global = follow RuntimeConfig. Disabled = off. Enabled = force on for this source.,Per-source perspective correction. Use Global = follow RuntimeConfig. Disabled = off. Enabled = force on for this source.,Corrección de perspectiva por fuente. Usar global = sigue RuntimeConfig. Desactivado = apagado. Habilitado = fuerza el encendido para esta fuente.
Perspective correction factor. 1.0 = calibrated for a 30–32 inch desktop monitor.,Perspective correction factor. 1.0 = calibrated for a 30–32 inch desktop monitor.,Factor de corrección de perspectiva. 1.0 = calibrado para un monitor de escritorio de 30–32 pulgadas.
"Preset for a few key scheduling knobs ([member reflections_sim_interval], [member pathing_sim_interval], [member direct_sim_interval]).
The selected value is kept until you manually tweak one of those knobs, then it switches back to Custom.","Preset for a few key scheduling knobs ([member reflections_sim_interval], [member pathing_sim_interval], [member direct_sim_interval]).
The selected value is kept until you manually tweak one of those knobs, then it switches back to Custom.","Preajuste para algunos controles clave de programación ([member reflections_sim_interval], [member pathing_sim_interval], [member direct_sim_interval]).
El valor seleccionado se mantiene hasta que ajustes manualmente uno de esos controles, momento en el que volverá a Custom."
Probes beyond this radius (m) do not affect listener.,Probes beyond this radius (m) do not affect listener.,Las sondas más allá de este radio (m) no afectan al oyente.
Radius of the sound source in meters (Steam Audio occlusion radius). Affects volumetric occlusion sampling and diffraction; slightly larger radius can reduce edge flicker when [member ResonanceRuntimeConfig.occlusion_type] is Volumetric.,Radius of the sound source in meters (Steam Audio occlusion radius). Affects volumetric occlusion sampling and diffraction; slightly larger radius can reduce edge flicker when [member ResonanceRuntimeConfig.occlusion_type] is Volumetric.,Radio de la fuente de sonido en metros (radio de oclusión de Steam Audio). Afecta al muestreo de oclusión volumétrica y a la difracción; un radio ligeramente mayor puede reducir el parpadeo en los bordes cuando [member ResonanceRuntimeConfig.occlusion_type] es Volumetric.
"Ray count for realtime reflection simulation. Off disables realtime reflections (cheapest).
Higher values improve quality but cost more CPU; depends strongly on [member scene_type].","Ray count for realtime reflection simulation. Off disables realtime reflections (cheapest).
Higher values improve quality but cost more CPU; depends strongly on [member scene_type].","Número de rayos para la simulación de reflexiones en tiempo real. Apagado desactiva las reflexiones en tiempo real (más económico).
Valores más altos mejoran la calidad pero consumen más CPU; depende fuertemente de [member scene_type]."
"Ray tracer backend. Default = built-in Phonon; Embree = Intel (often faster on CPU).
Radeon Rays = OpenCL GPU path supported on 64-bit Windows only; other platforms fall back to Default.
Custom = Steam Audio custom scene: raycasts use Godot 3D physics and simulation runs during the physics frame.","Ray tracer backend. Default = built-in Phonon; Embree = Intel (often faster on CPU).
Radeon Rays = OpenCL GPU path supported on 64-bit Windows only; other platforms fall back to Default.
Custom = Steam Audio custom scene: raycasts use Godot 3D physics and simulation runs during the physics frame.","Backend del trazador de rayos. Default = Phonon integrado; Embree = Intel (a menudo más rápido en CPU).
Radeon Rays = ruta de GPU OpenCL soportada solo en Windows de 64 bits; otras plataformas recurren a Default.
Custom = escena personalizada de Steam Audio: los trazados de rayos utilizan la física 3D de Godot y la simulación se ejecuta durante el fotograma de física."
Raycast / Volumetric / Use Global ([code]2[/code]). Legacy [code]-1[/code] migrates to 2. Default export [code]= 2[/code] so new resources do not silently become Raycast.,Raycast / Volumetric / Use Global ([code]2[/code]). Legacy [code]-1[/code] migrates to 2. Default export [code]= 2[/code] so new resources do not silently become Raycast.,Raycast / Volumetric / Usar global ([code]2[/code]). El valor heredado [code]-1[/code] migra a 2. Exportación por defecto [code]= 2[/code] para que los nuevos recursos no se conviertan silenciosamente en Raycast.
Rays per Phonon job when [member scene_type] is Custom. Values > 1 enable batched Godot ray callbacks.,Rays per Phonon job when [member scene_type] is Custom. Values > 1 enable batched Godot ray callbacks.,Rayos por tarea de Phonon cuando [member scene_type] es Custom. Valores > 1 habilitan llamadas de retorno agrupadas (callbacks) de rayos en Godot.
"Realtime reflection bounces per ray. Higher = longer reverb, more CPU.","Realtime reflection bounces per ray. Higher = longer reverb, more CPU.","Rebotes de reflexión en tiempo real por rayo. Mayor = reverberación más larga, más CPU."
"Reflection bounces per ray. Higher = longer reverb tail, longer bake.","Reflection bounces per ray. Higher = longer reverb tail, longer bake.","Rebotes de reflexión por rayo. Mayor = cola de reverberación más larga, horneado más largo."
"Reflection rays per probe. Higher = better quality, longer bake.","Reflection rays per probe. Higher = better quality, longer bake.","Rayos de reflexión por sonda. Mayor = mejor calidad, horneado más largo."
Reflections simulation: [b]Use Global[/b] = runtime [member ResonanceRuntimeConfig.default_reflections_mode] (Baked or Realtime). [b]Realtime[/b] here = per-source ray tracing (requires runtime [member ResonanceRuntimeConfig.realtime_rays] &gt; 0). Baked Reverb / Static Source / Listener = probe data modes.,Reflections simulation: [b]Use Global[/b] = runtime [member ResonanceRuntimeConfig.default_reflections_mode] (Baked or Realtime). [b]Realtime[/b] here = per-source ray tracing (requires runtime [member ResonanceRuntimeConfig.realtime_rays] &gt; 0). Baked Reverb / Static Source / Listener = probe data modes.,Simulación de reflexiones: [b]Usar global[/b] = [member ResonanceRuntimeConfig.default_reflections_mode] en tiempo de ejecución (Baked o Realtime). [b]Realtime[/b] aquí = trazado de rayos por fuente (requiere [member ResonanceRuntimeConfig.realtime_rays] &gt; 0 en tiempo de ejecución). Baked Reverb / Static Source / Listener = modos de datos de sonda.
"Reverb algorithm for bake: Convolution (full IR), Parametric (quick), Hybrid (balanced).
Should match ResonanceRuntimeConfig.reflection_type for consistent playback (BakeConfig has no TAN).","Reverb algorithm for bake: Convolution (full IR), Parametric (quick), Hybrid (balanced).
Should match ResonanceRuntimeConfig.reflection_type for consistent playback (BakeConfig has no TAN).","Algoritmo de reverberación para horneado: Convolution (IR completa), Parametric (rápida), Hybrid (equilibrado).
Debe coincidir con ResonanceRuntimeConfig.reflection_type para una reproducción consistente (BakeConfig no tiene TAN)."
"Reverb algorithm. Parametric (fastest). Convolution uses ReflectionMixer (bundled convolutions).
Hybrid = convolution + parametric tail (no mixer; can be slower than Convolution – reduce hybrid_reverb_transition_time and ambisonic_order for better perf).
TrueAudio Next: Steam Audio supports TAN on 64-bit Windows only; other platforms fall back to Convolution with a warning.","Reverb algorithm. Parametric (fastest). Convolution uses ReflectionMixer (bundled convolutions).
Hybrid = convolution + parametric tail (no mixer; can be slower than Convolution – reduce hybrid_reverb_transition_time and ambisonic_order for better perf).
TrueAudio Next: Steam Audio supports TAN on 64-bit Windows only; other platforms fall back to Convolution with a warning.","Algoritmo de reverberación: Paramétrico (más rápido). Convolución usa ReflectionMixer (convoluciones empaquetadas).
Híbrido = convolución + cola paramétrica (sin mezclador; puede ser más lento que Convolución; reduce hybrid_reverb_transition_time y el orden de ambisónicos para mejor rendimiento).
TrueAudio Next: Steam Audio soporta TAN solo en Windows de 64 bits; otras plataformas recurren a Convolución con una advertencia."
Reverb bus: Use Global or Custom ([member reverb_bus_name]). Parametric/Hybrid wet routing vs convolution mixer behavior follows runtime docs. Setter refreshes [member reverb_bus_name] in the inspector.,Reverb bus: Use Global or Custom ([member reverb_bus_name]). Parametric/Hybrid wet routing vs convolution mixer behavior follows runtime docs. Setter refreshes [member reverb_bus_name] in the inspector.,Bus de reverberación: Usar global o Custom ([member reverb_bus_name]). El enrutamiento wet paramétrico/híbrido frente al comportamiento del mezclador de convolución sigue los documentos de tiempo de ejecución. El setter actualiza [member reverb_bus_name] en el inspector.
Reverb transmission amount: Use Global or User Defined ([member reverb_transmission_amount]). Needs wet occlusion damping active.,Reverb transmission amount: Use Global or User Defined ([member reverb_transmission_amount]). Needs wet occlusion damping active.,Cantidad de transmisión de reverberación: Usar global o Definido por usuario ([member reverb_transmission_amount]). Requiere que la atenuación de oclusión wet esté activa.
"Runtime pathing: Steam Audio [code]numVisSamples[/code] (probe visibility rays per pathing update). 1–16. Lower = less CPU; higher ≈ closer to bake density ([ResonanceBakeConfig] [code]bake_pathing_num_samples[/code] is bake-only). With path validation / alternate paths on, this dominates pathing cost (Embree or Default tracer).","Runtime pathing: Steam Audio [code]numVisSamples[/code] (probe visibility rays per pathing update). 1–16. Lower = less CPU; higher ≈ closer to bake density ([ResonanceBakeConfig] [code]bake_pathing_num_samples[/code] is bake-only). With path validation / alternate paths on, this dominates pathing cost (Embree or Default tracer).","Trazado de rutas en tiempo de ejecución: [code]numVisSamples[/code] de Steam Audio (rayos de visibilidad de sonda por actualización de trazado). 1–16. Menor = menos CPU; mayor ≈ cercano a la densidad del horneado (el [code]bake_pathing_num_samples[/code] de [ResonanceBakeConfig] es solo para horneado). Con validación de ruta / rutas alternativas activadas, esto domina el costo de trazado (trazador Embree o Default)."
